Blog	doesnt	months	lot	morning	friday	trump	might	see	earlier	business	water	service	know	major	san	sunday	comes	using	data	youre	people	app	version	better	hillary	department	everything	wrong	hours	matter	sure	web	done	good	youve	league	way	building	next	anyone	part	think	makes	theres	something	much	get	ever	released	great	pick	series	convention	blog	company	days	still	democratic	according	set	hit	health	used	huge	trying	youll	want	shows	always	perfect	look	whose	ive	well	new	donald	american	news	whole	help	year	meet	tim	car	read	night	however	agreement	photo	media	hes	probably	content	website	americas	since	man	post	email	nothing	project	though	appeared	music	ways	wont	h	upcoming	companies	thats	actually	republican	show	fans	system	daily	dnc	going	wonder	another	smart	favorite	available	heres	ceo	guy	says	surface	years	high	plans	second	little	four	bad	worlds	city	stars	question	director	police	course	key	wireless	month	talk	growth	past	report	enough	started	said	play	latest	first	writing	lets	tools	original	amazon	making	familiar	experience	comiccon	looks	learn	without	finally	would	open	dont	full	please	find	running	biggest	week	olympic	game	party	creative	trumps	york	welcome	results	seem	three	bit	together	country	official	believe	buy	billion	massive	big	location	point	ones	may	live	july	customers	survive	day	design	someone	old	feel	use	house	early	behind	could	thing	name	least	verizon	quick	long	many	really	thanks	around	life	via	money	instead	got	idea	beyond	south	number	designed	found	continue	kaine	movie	need	states	visit	like	power	time	summer	win	pokémon	john	users	best	internet	back	call	trailer	information	white	check	google	windows	recent	related	us	often	change	one	woman	nasa	book	every	team	last	trek	keep	right	away	world	men	hard	click	thought	human	called	reported	along	site	process	leave	share	case	state	article	family	saturday	national	coming	twitter	yet	million	opening	tv	place	top	give	clinton	weve	easy	weeks	today	quickly	came	decided	make	stories	take	women	space	made	sweet	become	ago	former	kind	reading	games	weekend	im	online	say	home	technology	including	watch	never	real	tech	theyre	didnt	links	panel	video	run	across	far	price	things	two	star	even	list	person	come	anything	support	small	given	love	free	work
Design*Sponge	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hollywood Reporter	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FiveThirtyEight	1	0	0	0	2	4	1	1	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	6	1	3	0	0	0	0	3	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	9	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	7	0	1	2	0	4	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	5	0	0	0	2	0	1	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	7	2	0	1	0	0	0	1	0	0	6	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	1	3	0	0	0	0	0	0	0
Apartment Therapy | Saving the world, one room at a time	2	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	2	1	0	1	2	1	0	2	1	3	0	0	0	0	0	1	4	5	0	0	3	1	0	0	1	3	0	0	0	0	0	0	0	1	1	0	1	2	0	3	1	2	0	1	2	2	0	0	1	1	1	3	0	0	2	20	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	6	1	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	1	0	1	3	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	2	0	0	0	1	0	1	2	7	1	0	1	1	0	0	0	1	1	0	0	4	0	1	0	0	3	2	8	0	0	0	0	2	0	1	2	1	0	0	1	2	1	0	1	0	0	0	0	0	0	2	0	0	4	1	4	5	0	0	0	0	1	0	1	0	0	0	1	1	0	2	0	1	1	1	1	6	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	4	1	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	2	1	0	1	0	0	2	1	0	0	2
NYT > Home Page	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABC News: Nightline	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
msnbc.com Latest Headlines	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Engadget RSS Feed	1	2	0	1	0	2	0	0	1	0	2	0	1	1	1	0	1	1	0	2	2	1	0	0	0	0	0	0	0	2	1	0	1	1	1	0	2	0	1	0	1	1	0	0	1	1	0	0	1	0	0	3	0	0	4	0	2	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	4	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	2	0	1	0	0	0	1	2	0	0	2	0	1	5	0	1	0	0	3	2	2	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	3	1	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	1	3	2	0	0	1	2	0	1	0	0	1	0
Everyday Carry	0	0	2	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	2	4	0	1	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	5	0	3	1	0	0	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	1	0	0	1	3	0	0	0	1	0	0	1	1	0	0	5	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	2	1	0	2	0	5	1	0	0	0	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	1	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	2	0	0	1	0	1	4	0	2	0	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	3	0	2	0	0	4	0	1	0	3
Interesting Thing of the Day	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	1
ED News	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	25	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	3	0	1	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	3	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	2
Basic Blog Tips	2	0	3	0	0	0	0	6	0	3	0	0	7	0	2	0	2	2	4	2	15	0	2	4	0	0	1	1	1	2	2	2	3	1	1	0	12	9	0	2	2	5	4	0	5	5	9	2	1	4	2	0	0	58	1	2	1	0	0	1	0	0	1	2	3	2	5	0	2	0	1	0	0	1	2	0	0	0	2	2	6	1	0	0	1	0	3	0	0	4	0	3	10	7	0	0	2	27	6	1	0	0	19	0	5	1	0	0	1	0	0	0	1	0	2	1	0	7	1	1	1	0	1	0	0	2	0	1	3	0	0	0	3	0	0	1	1	0	0	0	0	2	3	0	0	0	2	1	0	3	2	0	2	0	23	4	1	6	0	0	3	0	3	0	0	1	2	0	3	1	4	1	0	5	0	0	2	0	0	0	2	0	0	0	11	0	0	1	1	0	0	2	1	3	2	1	0	0	0	1	0	1	0	0	3	1	3	1	1	4	0	0	1	3	2	0	1	0	0	1	1	0	0	0	1	0	7	2	2	0	0	0	0	0	1	25	0	0	1	0	25	1	1	10	0	0	0	0	2	5	5	1	0	0	0	0	0	6	0	1	0	1	3	2	2	0	0	0	1	0	2	0	3	5	1	5	0	3	1	1	0	0	0	0	8	2	0	3	1	0	1	0	0	0	0	8	0	2	0	0	2	1	1	0	0	0	0	2	3	0	1	11	0	4	0	2	0	0	0	2	0	0	25	0	0	5	3	0	1	0	0	0	1	2	0	0	1	2	0	3	1	0	0	0	7	1	0	1	9	0	2	2	0	0	1	5	0	1
Simply Recipes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	1	2	1	0	1	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	3	0	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	1	0	2	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	1	3	1	0	0	0	10	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
Guy Kawasaki	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	10	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	3	1	0	2	0	0	1	0	0	0	0	0	1
CNN.com - Technology	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP Top Science News at 4:24 p.m. EDT	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
43 Folders	18	4	39	7	2	0	16	17	2	8	3	2	36	4	2	0	5	8	3	28	53	7	3	25	0	0	12	6	4	8	9	9	10	26	13	0	36	3	3	13	13	31	5	10	23	37	50	25	1	13	2	0	0	5	2	7	20	0	0	3	3	2	6	7	10	13	26	0	20	2	5	2	24	23	27	1	2	1	4	25	6	2	0	3	41	5	1	2	2	2	10	8	1	1	1	5	6	2	10	7	3	2	0	0	5	10	0	1	2	27	14	0	4	1	4	3	0	7	4	10	4	10	5	5	0	31	13	0	19	0	0	8	28	3	6	1	0	1	3	0	0	2	2	0	2	20	1	8	0	15	2	14	6	0	29	4	8	5	2	1	11	2	4	0	3	11	12	6	20	4	46	6	15	10	3	0	10	0	2	0	4	0	1	2	2	4	2	7	3	0	0	8	5	0	1	23	1	17	4	15	7	0	4	6	14	10	5	4	7	10	2	4	2	24	31	3	11	0	0	14	20	76	13	9	27	1	5	4	2	6	2	0	9	0	1	4	0	1	21	0	4	67	7	41	1	0	0	13	5	12	2	24	3	0	6	0	2	2	0	2	2	20	18	12	43	2	0	23	12	2	13	0	10	22	7	9	2	15	2	10	4	2	0	1	1	2	5	4	3	0	3	3	2	0	1	4	6	0	0	2	7	1	4	0	0	5	1	12	2	1	18	44	2	10	0	1	27	2	12	3	0	9	13	0	0	45	1	21	6	3	7	6	26	16	0	5	8	2	1	11	6	0	7	5	52	10	1	49	3	7	5	14	3	2	2	15	4	54
